disagg_value,year,value,indicator,disaggregation
Female,2000,3.78017632391605,Adult Obesity,Gender
Female,2001,3.98826311427109,Adult Obesity,Gender
Female,2002,4.20723874023997,Adult Obesity,Gender
Female,2003,4.43779336571326,Adult Obesity,Gender
Female,2004,4.67935398579351,Adult Obesity,Gender
Female,2005,4.93220045919452,Adult Obesity,Gender
Female,2006,5.19700730525976,Adult Obesity,Gender
Female,2007,5.47448790163704,Adult Obesity,Gender
Female,2008,5.76470053587169,Adult Obesity,Gender
Female,2009,6.06703582562608,Adult Obesity,Gender
Female,2010,6.38324405145117,Adult Obesity,Gender
Female,2011,6.7142828662403,Adult Obesity,Gender
Female,2012,7.06112267654651,Adult Obesity,Gender
Female,2013,7.42317830879203,Adult Obesity,Gender
Female,2014,7.8014053848065,Adult Obesity,Gender
Female,2015,8.19594925808433,Adult Obesity,Gender
Female,2016,8.60712928676906,Adult Obesity,Gender
Female,2000,19.5146925629965,Adult Overweight,Gender
Female,2001,20.0741832503266,Adult Overweight,Gender
Female,2002,20.6496597350335,Adult Overweight,Gender
Female,2003,21.2393247882466,Adult Overweight,Gender
Female,2004,21.8422719317908,Adult Overweight,Gender
Female,2005,22.4587376676197,Adult Overweight,Gender
Female,2006,23.0890400421706,Adult Overweight,Gender
Female,2007,23.7317534163197,Adult Overweight,Gender
Female,2008,24.3865086947831,Adult Overweight,Gender
Female,2009,25.0542324794031,Adult Overweight,Gender
Female,2010,25.7337098812353,Adult Overweight,Gender
Female,2011,26.4281825675951,Adult Overweight,Gender
Female,2012,27.1359392500107,Adult Overweight,Gender
Female,2013,27.8571729363738,Adult Overweight,Gender
Female,2014,28.5902975551125,Adult Overweight,Gender
Female,2015,29.3333311112119,Adult Overweight,Gender
Female,2016,30.0853684772545,Adult Overweight,Gender
Male,2000,9.81040909679879,Adult Overweight,Gender
Male,2001,10.0250333650035,Adult Overweight,Gender
Male,2002,10.244235530224,Adult Overweight,Gender
Male,2003,10.4689100992074,Adult Overweight,Gender
Male,2004,10.6985110849469,Adult Overweight,Gender
Male,2005,10.9312012018561,Adult Overweight,Gender
Male,2006,11.1680101117997,Adult Overweight,Gender
Male,2007,11.4101325333862,Adult Overweight,Gender
Male,2008,11.6578007363448,Adult Overweight,Gender
Male,2009,11.9109509687954,Adult Overweight,Gender
Male,2010,12.1691503663542,Adult Overweight,Gender
Male,2011,12.4364512207109,Adult Overweight,Gender
Male,2012,12.7130440630434,Adult Overweight,Gender
Male,2013,12.9986152913356,Adult Overweight,Gender
Male,2014,13.2960962627169,Adult Overweight,Gender
Male,2015,13.6039596415546,Adult Overweight,Gender
Male,2016,13.9234568930627,Adult Overweight,Gender
Male,2000,0.837210887741867,Adult Obesity,Gender
Male,2001,0.887182789126056,Adult Obesity,Gender
Male,2002,0.940057659151205,Adult Obesity,Gender
Male,2003,0.995972699406298,Adult Obesity,Gender
Male,2004,1.0551117334481,Adult Obesity,Gender
Male,2005,1.11739642643758,Adult Obesity,Gender
Male,2006,1.18284272758288,Adult Obesity,Gender
Male,2007,1.25177578948232,Adult Obesity,Gender
Male,2008,1.32472914352742,Adult Obesity,Gender
Male,2009,1.40190757967507,Adult Obesity,Gender
Male,2010,1.48338230503024,Adult Obesity,Gender
Male,2011,1.57032285934362,Adult Obesity,Gender
Male,2012,1.66306066342371,Adult Obesity,Gender
Male,2013,1.76201541166791,Adult Obesity,Gender
Male,2014,1.86784685355744,Adult Obesity,Gender
Male,2015,1.98120997291397,Adult Obesity,Gender
Male,2016,2.10245895900334,Adult Obesity,Gender
Male,2000,2.5387924,Adult Diabetes,Gender
Male,2001,2.6450587,Adult Diabetes,Gender
Male,2002,2.7546788,Adult Diabetes,Gender
Male,2003,2.8655257,Adult Diabetes,Gender
Male,2004,2.9777848,Adult Diabetes,Gender
Male,2005,3.0902758,Adult Diabetes,Gender
Male,2006,3.2045818,Adult Diabetes,Gender
Male,2007,3.3215648,Adult Diabetes,Gender
Male,2008,3.4401527,Adult Diabetes,Gender
Male,2009,3.559929,Adult Diabetes,Gender
Male,2010,3.6813378,Adult Diabetes,Gender
Male,2011,3.8085237,Adult Diabetes,Gender
Male,2012,3.9425278,Adult Diabetes,Gender
Male,2013,4.0863083,Adult Diabetes,Gender
